technische metadata (drager)																		Waarde digitale drager						Inhoudelijke metadata											
drager.medium	drager.archiefnummer	drager.barcode	drager.dragertype	drager.Technische annotatie	drager.Technische annotatie	drager.archiefstatus	drager.depotstatus	drager.depotstatus.reden	drager.fabricagedatum	drager.fysieke staat	opbergeenheid.barcode	opbergeenheid.archiefnummer	opbergeenheid.locatie	drager.afmetingen	drager.kleur	drager.materiaalsoort	drager.collectienummer	drager.medium	drager.archiefnummer	drager.archiefnummer.bron	drager.dragertype	drager.archiefstatus	drager.projectnaam	werk.titel	configuratie filenaam	realisatie.titel	expressie.titel	expressie.overige titel	expressie.annotatie	expressie.inhoudssamenvatting	expressie.productiejaar	publicatie.begindatum	publicatie.einddatum	publicatie.zendgemachtigde	publicatie.weeknummer
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000021	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	24-08-1958	30-08-1958	AVRO	1958-34
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000022	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	31-08-1958	06-09-1958	AVRO	1958-35
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000023	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	07-09-1958	13-09-1958	AVRO	1958-36
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000024	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	14-09-1958	20-09-1958	AVRO	1958-37
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000025	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	21-09-1958	27-09-1958	AVRO	1958-38
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000026	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	28-09-1958	04-10-1958	AVRO	1958-39
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000027	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	05-10-1958	11-10-1958	AVRO	1958-40
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000028	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	12-10-1958	18-10-1958	AVRO	1958-41
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000029	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 22 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	16-11-1958	22-11-1958	AVRO	1958-46
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000030	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 22 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	23-11-1958	29-11-1958	AVRO	1958-47
